,loss,accuracy,mean_io_u_1,val_loss,val_accuracy,val_mean_io_u_1
0,0.3933511972427368,0.8490797281265259,0.4207748770713806,0.3059156537055969,0.8603982329368591,0.4221610724925995
1,0.29891690611839294,0.8723653554916382,0.4207748770713806,0.2939034402370453,0.8748074173927307,0.42216843366622925
2,0.274029940366745,0.8861865997314453,0.4207748770713806,0.25402286648750305,0.8968286514282227,0.42334088683128357
3,0.2598181664943695,0.8937060236930847,0.4207748770713806,0.2784147560596466,0.8835727572441101,0.4221757650375366
4,0.2511090934276581,0.8981713652610779,0.420774906873703,0.25025108456611633,0.8950703144073486,0.42236122488975525
5,0.24079780280590057,0.9031026363372803,0.4207748770713806,0.23532555997371674,0.9052311778068542,0.42186394333839417
6,0.2330869883298874,0.9062459468841553,0.420774906873703,0.23108671605587006,0.9086140990257263,0.42137083411216736
7,0.2179621011018753,0.9128802418708801,0.420774906873703,0.21126776933670044,0.9157188534736633,0.4229764938354492
8,0.21321476995944977,0.9153478145599365,0.420774906873703,0.2084042876958847,0.9161803126335144,0.4212248623371124
9,0.2091260701417923,0.9166073203086853,0.4207748770713806,0.21583427488803864,0.9152274131774902,0.4222847819328308
10,0.20355281233787537,0.9187399744987488,0.4207748770713806,0.19444267451763153,0.9222981929779053,0.42176249623298645
11,0.19911332428455353,0.9212797284126282,0.4207748770713806,0.18899254500865936,0.9263355731964111,0.42155516147613525
12,0.19008389115333557,0.9245012402534485,0.420774906873703,0.18519292771816254,0.9266367554664612,0.42287003993988037
13,0.18511411547660828,0.9265764355659485,0.4207748770713806,0.19663496315479279,0.9217842221260071,0.4233108162879944
14,0.18714292347431183,0.9258834719657898,0.420774906873703,0.17681072652339935,0.9309173822402954,0.422199010848999
15,0.17764094471931458,0.9300880432128906,0.4207748770713806,0.1827404499053955,0.928102433681488,0.42225709557533264
16,0.17381346225738525,0.9314891695976257,0.4207749366760254,0.17236511409282684,0.9328359365463257,0.42074212431907654
17,0.1712973415851593,0.9324241280555725,0.4207748472690582,0.17073148488998413,0.933085024356842,0.4225740134716034
18,0.17094595730304718,0.9325881600379944,0.4207748770713806,0.1731088012456894,0.9315149188041687,0.42197471857070923
19,0.1653100699186325,0.9350618720054626,0.4207748770713806,0.1553703397512436,0.9387878775596619,0.4218776524066925
